Date,Open,High,Low,Close,Adj Close,Volume,¼öÀÍ·ü
2011-01-03,515.710022,518.059998,514.51001,518.049988,518.049988,579800.0,
2011-01-04,520.73999,522.340027,519.289978,521.349976,521.349976,726900.0,0.006370018485551965
2011-01-05,522.159973,524.409973,519.929993,523.809998,523.809998,640400.0,0.004718561644280195
2011-01-06,527.820007,529.869995,524.440002,527.640015,527.640015,793900.0,0.0073118440171506816
2011-01-07,530.75,531.280029,529.869995,530.840027,530.840027,657500.0,0.0060647636817310335
2011-01-10,532.960022,534.869995,532.090027,533.97998,533.97998,616800.0,0.0059150645020971115
2011-01-11,535.940002,536.840027,531.22998,533.669983,533.669983,740300.0,-0.0005805404914243084
2011-01-12,536.52002,536.840027,534.940002,535.429993,535.429993,810500.0,0.003297937032370024
2011-01-13,538.609985,538.859985,531.98999,534.27002,534.27002,725800.0,-0.002166432615215763
2011-01-14,536.049988,536.190002,533.789978,535.200012,535.200012,636300.0,0.0017406778692166114
2011-01-17,538.070007,538.130005,532.159973,533.01001,533.01001,630100.0,-0.004091931896294643
2011-01-18,532.679993,534.0,529.0,529.02002,529.02002,688200.0,-0.007485769357314598
2011-01-19,532.950012,533.609985,530.109985,532.969971,532.969971,653300.0,0.00746654351568754
2011-01-20,533.580017,535.77002,533.359985,533.359985,533.359985,686500.0,0.0007317748113806477
2011-01-21,534.549988,534.650024,525.700012,525.75,525.75,640500.0,-0.014268008875844007
2011-01-24,526.840027,527.929993,525.200012,527.090027,527.090027,673800.0,0.0025487912505943733
2011-01-25,530.570007,530.669983,522.200012,522.960022,522.960022,770400.0,-0.007835483102396013
2011-01-26,524.549988,526.210022,524.179993,524.710022,524.710022,595700.0,0.003346336099090852
2011-01-27,527.650024,528.98999,527.26001,528.630005,528.630005,591500.0,0.007470760678552457
2011-01-28,531.380005,531.76001,526.809998,527.460022,527.460022,613700.0,-0.002213236079930847
2011-01-31,523.01001,524.859985,521.380005,521.380005,521.380005,514400.0,-0.011526972180651796
2011-02-01,525.099976,526.469971,523.26001,524.5,524.5,538200.0,0.005984109421304007
2011-02-07,530.679993,532.619995,530.679993,531.090027,531.090027,492900.0,0.01256439847473767
2011-02-08,534.460022,535.200012,530.059998,531.469971,531.469971,585200.0,0.0007154041324146654
2011-02-09,533.469971,533.789978,524.309998,525.73999,525.73999,724700.0,-0.010781382416053642
2011-02-10,526.890015,527.559998,521.659973,522.700012,522.700012,728000.0,-0.005782284128700188
2011-02-11,525.909973,526.640015,517.47998,517.72998,517.72998,836500.0,-0.009508383175625523
2011-02-14,522.369995,523.169983,517.570007,520.349976,520.349976,651100.0,0.00506054526724542
2011-02-15,521.26001,522.330017,519.299988,520.880005,520.880005,725100.0,0.0010186009886545833
2011-02-16,522.099976,524.01001,519.830017,520.080017,520.080017,874000.0,-0.0015358393340515475
2011-02-17,522.669983,523.549988,508.01001,511.079987,511.079987,861800.0,-0.017305087113162365
2011-02-18,513.599976,518.950012,511.920013,518.549988,518.549988,697800.0,0.014616109395807708
2011-02-21,521.469971,522.22998,519.26001,520.590027,520.590027,666200.0,0.003934122162201126
2011-02-22,517.890015,517.890015,508.899994,512.059998,512.059998,665700.0,-0.016385310047439705
2011-02-23,509.690002,513.640015,505.23999,507.160004,507.160004,732900.0,-0.00956917943041502
2011-02-24,507.220001,509.269989,501.040009,501.109985,501.109985,729000.0,-0.01192921159453264
2011-02-25,504.959991,509.410004,502.380005,509.329987,509.329987,605800.0,0.01640358852558088
2011-02-28,510.829987,510.839996,503.170013,504.459991,504.459991,531000.0,-0.009561573290991054
2011-03-02,502.480011,507.899994,501.73999,503.459991,503.459991,537100.0,-0.001982317761251351
2011-03-03,506.98999,510.950012,506.970001,510.940002,510.940002,513100.0,0.014857210371657992
2011-03-04,514.849976,518.809998,513.590027,518.789978,518.789978,589600.0,0.015363792165953738
2011-03-07,520.210022,522.640015,517.460022,518.77002,518.77002,520000.0,-3.847028825987309e-05
2011-03-08,520.830017,525.130005,517.780029,524.98999,524.98999,583900.0,0.011989840893272818
2011-03-09,528.02002,528.390015,521.900024,522.700012,522.700012,687300.0,-0.004361946024913799
2011-03-10,523.700012,523.98999,519.289978,522.169983,522.169983,683500.0,-0.0010140214039252582
2011-03-11,515.98999,520.099976,514.710022,518.549988,518.549988,645300.0,-0.006932598804707646
2011-03-14,514.419983,514.419983,496.119995,502.980011,502.980011,743700.0,-0.03002599047403698
2011-03-15,502.859985,507.809998,469.200012,489.440002,489.440002,914200.0,-0.026919576730455752
2011-03-16,492.029999,496.179993,486.230011,492.359985,492.359985,669100.0,0.005965967203473532
2011-03-17,482.950012,487.809998,482.359985,487.809998,487.809998,549100.0,-0.009241179499995256
