,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]1주당매출액(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
130,(주)구스앤홈,329050,2017/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,(주)구스앤홈,329050,2018/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,(주)구스앤홈,329050,2019/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,(주)구스앤홈,329050,2020/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,(주)극동자동화,272420,2014/12,2017/06/28,2018/11/15,4,  전문직별 공사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,(주)극동자동화,272420,2015/12,2017/06/28,2018/11/15,4,  전문직별 공사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,(주)극동자동화,272420,2016/12,2017/06/28,2018/11/15,4,  전문직별 공사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,(주)극동자동화,272420,2017/12,2017/06/28,2018/11/15,4,  전문직별 공사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,(주)금빛,45890,2011/12,2005/11/28,2021/12/20,4,  전기장비 제조업,-28.11,-3.53,-4.0,-42.51,-57.36,-25.96,-24.64,0.0,-11.19,-58.01,-59.57,-21.38,-24.95,2205.57,-1366.0,104.65,62.18,10.5,2.22,148.74,-7.72,124.22,50.06,40.2,357.95,0.43,1.07,1.01,1.51,2.4,3.79,96.41,241.22,151.89,0.0,7.67,0.42,1.26,0.75,1.49,-20171.84,-18.45,-46.14,-697.68,-35.89,0.0,0.0,0.0
222,(주)금빛,45890,2012/12,2005/11/28,2021/12/20,4,  전기장비 제조업,-10.15,-1.04,3.85,-24.12,-15.85,-10.1,27.92,0.0,27.73,-8.84,-14.7,-3.81,-6.12,2821.38,-272.0,83.68,46.03,10.22,-8.24,139.1,-1.49,138.02,42.28,41.82,321.8,0.69,1.69,1.29,3.52,5.12,7.74,47.16,103.81,71.23,0.01,1.11,0.73,1.65,1.49,2.6,7320.9,7.45,16.92,233.27,10.18,137.85,-37.85,-86.79
223,(주)금빛,45890,2013/12,2005/11/28,2021/12/20,4,  전기장비 제조업,5.84,-2.39,7.46,3.64,-14.98,5.71,22.98,0.0,28.99,3.27,6.85,5.48,2.86,3469.69,116.0,73.49,46.36,11.65,-14.93,139.4,1.83,140.3,41.4,41.77,340.18,0.87,2.09,1.5,5.11,6.68,10.85,33.64,71.37,54.61,0.01,1.06,0.92,2.07,2.09,3.54,22703.29,21.84,53.79,887.9,25.68,61.47,38.53,12.74
224,(주)금빛,45890,2014/12,2005/11/28,2021/12/20,4,  전기장비 제조업,5.01,0.15,3.77,6.78,27.64,4.33,-6.51,-43.56,30.81,1.97,3.68,5.48,1.53,3243.93,65.0,74.14,41.42,1.79,-14.68,141.45,2.26,139.82,42.09,41.42,354.91,0.78,1.86,1.33,4.57,4.84,7.52,48.55,79.85,75.45,0.01,0.53,0.79,1.96,1.86,3.13,23218.34,21.27,54.96,790.82,28.09,66.07,33.93,7.02
225,(주)금빛,45890,2015/12,2005/11/28,2021/12/20,4,  전기장비 제조업,1.56,-0.2,-0.8,4.8,0.3,7.47,2.58,88.01,29.44,3.62,6.54,3.95,2.79,3327.49,123.0,87.38,50.47,1.67,-6.28,128.17,1.82,129.07,43.43,43.83,381.42,0.77,1.81,1.35,4.17,4.48,7.25,50.32,87.43,81.45,0.01,0.71,0.8,2.01,1.8,3.17,23668.16,21.35,56.24,832.41,27.91,63.79,36.21,12.95
226,(주)금빛,45890,2016/12,2005/11/28,2021/12/20,4,  전기장비 제조업,-0.15,-2.69,4.94,-6.78,-13.78,8.9,-10.77,-13.73,30.9,3.5,5.21,3.84,2.39,2933.13,105.0,100.63,61.32,6.06,0.25,109.21,1.83,124.37,40.55,47.8,407.58,0.68,1.49,1.18,3.99,4.35,9.24,39.5,91.37,83.94,0.01,0.0,0.78,1.82,1.63,2.74,22485.48,20.31,54.94,963.82,29.72,63.14,36.86,11.76
227,(주)금빛,45890,2017/12,2005/11/28,2021/12/20,4,  전기장비 제조업,-0.97,-2.67,-14.92,19.48,16.97,-15.23,-3.64,-304.0,25.85,-7.4,-11.04,0.09,-4.9,2796.91,-211.0,135.38,83.6,9.98,12.78,144.41,0.03,124.84,48.92,40.91,340.41,0.66,1.49,1.2,3.83,4.07,7.54,48.4,95.25,89.67,0.01,2.77,0.8,1.8,1.48,2.41,16634.17,15.17,41.76,755.92,22.82,84.22,15.78,-32.44
228,(주)금빛,45890,2018/12,2005/11/28,2021/12/20,4,  전기장비 제조업,-6.41,37.83,3.67,-16.92,-22.62,11.08,-27.08,0.0,5.24,-12.5,-14.04,-15.6,-6.26,1999.62,-256.0,112.13,72.19,10.5,4.7,105.94,-8.83,116.5,43.43,48.56,374.84,0.5,1.12,0.93,2.92,3.37,5.33,68.47,124.9,108.18,0.01,1.04,0.6,1.12,1.08,1.72,10254.87,9.99,18.7,595.25,19.29,139.63,-39.63,-64.8
229,(주)금빛,45890,2019/12,2005/11/28,2021/12/20,4,  전기장비 제조업,0.23,2.58,12.85,-16.21,-23.16,-37.73,10.33,0.0,15.07,-62.78,-91.08,-15.3,-35.84,2033.25,-1163.0,55.42,37.32,6.13,-29.2,231.46,-4.07,211.13,36.3,30.17,162.26,0.57,1.45,0.95,4.18,6.21,9.38,38.91,87.34,58.78,0.01,0.99,0.62,1.05,1.43,2.18,-15590.79,-15.16,-27.96,-1381.64,-26.58,0.0,0.0,0.0
230,(주)금빛,45890,2020/12,2005/11/28,2021/12/20,4,  전기장비 제조업,19.45,8.74,19.44,19.47,-51.27,62.3,-30.22,0.0,6.56,-43.47,-43.72,-16.68,-15.77,846.52,-336.0,68.34,59.24,4.68,-16.82,143.95,-4.86,155.38,36.31,40.99,134.17,0.36,1.01,0.57,4.51,6.45,6.09,59.91,80.88,56.56,0.01,0.21,0.38,0.69,1.0,1.28,272.56,0.22,0.45,11.12,0.67,4117.38,-4017.38,-6527.69
231,(주)금오하이텍,165270,2011/12,2013/12/10,2017/06/07,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,(주)금오하이텍,165270,2012/12,2013/12/10,2017/06/07,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,(주)금오하이텍,165270,2013/12,2013/12/10,2017/06/07,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,(주)금오하이텍,165270,2014/12,2013/12/10,2017/06/07,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,(주)금오하이텍,165270,2015/12,2013/12/10,2017/06/07,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,(주)금오하이텍,165270,2016/12,2013/12/10,2017/06/07,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,(주)나노트로닉스,10670,2011/12,1996/05/14,2014/04/11,4,"  의료, 정밀, 광학기기 및 시계 제조업",6.92,-36.77,-17.78,19.31,-5.03,-6.98,-15.82,0.0,32.66,-9.94,-8.09,1.85,-3.62,1360.6,-139.0,129.2,117.95,2.28,16.8,139.61,0.21,61.54,74.32,41.73,322.22,0.36,0.81,1.24,5.31,0.87,5.26,69.39,68.8,420.34,0.0,1.09,0.33,17.03,0.52,0.57,2067.74,4.26,265.56,316.59,12.08,80.74,19.26,-82.26
304,(주)나노트로닉스,10670,2012/12,1996/05/14,2014/04/11,4,"  의료, 정밀, 광학기기 및 시계 제조업",6.24,-44.98,24.23,0.02,11.9,13.78,13.53,0.0,47.33,-16.38,-14.7,7.42,-6.36,1489.91,-257.0,128.9,116.35,11.65,15.69,123.72,1.4,67.19,69.97,44.7,330.81,0.39,0.9,1.39,5.84,0.88,6.06,60.22,62.55,414.55,0.0,1.53,0.3,32.19,0.54,0.59,1143.73,2.22,266.99,320.94,5.89,155.74,-55.74,-278.33
355,(주)나이코,192240,2012/12,2014/02/28,2016/12/23,4,"  펄프, 종이 및 종이제품 제조업",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,(주)나이코,192240,2013/12,2014/02/28,2016/12/23,4,"  펄프, 종이 및 종이제품 제조업",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,(주)나이코,192240,2014/12,2014/02/28,2016/12/23,4,"  펄프, 종이 및 종이제품 제조업",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,(주)나이코,192240,2015/12,2014/02/28,2016/12/23,4,"  펄프, 종이 및 종이제품 제조업",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,(주)네오퍼플,28090,2011/12,1996/11/29,2013/05/03,4,  식료품 제조업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84,-16.22,-33.54,-7.74,-12.21,605.51,-120.0,85.06,69.66,0.16,-8.83,164.34,-2.55,131.41,50.29,37.83,58.57,0.75,1.99,1.51,8.27,6.08,11.68,31.24,44.14,60.02,0.01,0.37,0.69,2.6,1.5,1.83,-285.34,-0.66,-2.28,-19.46,-0.88,0.0,0.0,0.0
445,(주)네오퍼플,28090,2012/12,1996/11/29,2013/05/03,4,  식료품 제조업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.27,-53.08,-103.49,-10.43,-32.81,419.35,0.0,98.41,84.59,30.92,-1.06,204.43,-2.52,104.65,65.62,32.85,41.58,0.62,1.88,1.8,6.71,14.7,25.25,14.45,54.42,24.83,0.02,0.0,0.47,5.46,0.94,1.1,-11813.58,-29.25,-258.29,-943.07,-47.31,0.0,0.0,0.0
485,(주)넥스지,81970,2011/12,2007/08/20,2018/10/11,4,  출판업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,(주)넥스지,81970,2012/12,2007/08/20,2018/10/11,4,  출판업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,(주)넥스지,81970,2013/12,2007/08/20,2018/10/11,4,  출판업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.96,8.09,4.57,4.48,4.07,3111.51,265.0,1102.66,956.89,502.57,57.42,6.67,999999999.0,39.31,63.15,93.75,1159.27,0.5,0.54,1.37,6.03,3.94,18.52,19.71,60.55,92.67,0.01,0.0,0.73,7.78,0.8,0.92,7734.19,21.72,335.72,0.0,43.15,70.17,29.83,18.75
488,(주)넥스지,81970,2014/12,2007/08/20,2018/10/11,4,  출판업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,(주)넥스지,81970,2015/12,2007/08/20,2018/10/11,4,  출판업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,(주)넥스지,81970,2016/12,2007/08/20,2018/10/11,4,  출판업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,(주)넥스지,81970,2017/12,2007/08/20,2018/10/11,4,  출판업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.97,9.81,5.78,-0.98,5.24,3747.93,368.0,796.01,716.56,221.13,54.43,10.2,-169.56,41.61,62.25,90.74,1272.29,0.53,0.59,1.42,8.6,4.91,21.65,16.86,42.42,74.37,0.01,0.0,0.76,12.27,0.86,0.95,10614.72,26.29,603.28,0.0,49.17,64.85,35.15,19.95
540,(주)넷웨이브,47730,2011/12,2001/05/10,2012/11/17,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-20.5,712.27,154.12,-42.02,-30.23,-18.06,-38.1,0.0,6.27,-42.41,-51.31,-31.67,-32.04,943.81,-461.0,178.88,120.33,7.44,28.63,57.49,-52.67,55.22,64.93,63.5,140.54,0.76,1.21,3.49,3.3,3.33,10.13,36.01,110.67,109.76,0.01,0.0,0.66,8.74,0.96,1.36,-2726.89,-15.32,-90.59,-102.74,-17.96,0.0,0.0,0.0
580,(주)녹십자셀,31390,2011/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73,-34.08,-23.98,-12.27,-16.03,325.37,-113.0,193.95,155.81,47.41,25.44,52.13,-6.12,72.22,52.53,65.73,90.49,0.47,0.72,0.99,4.55,2.88,7.19,50.73,80.15,126.58,0.01,4.12,0.59,2.53,0.9,1.11,2900.03,4.98,26.8,132.62,10.59,315.32,-215.32,-321.99
581,(주)녹십자셀,31390,2012/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,24.44,-13.05,5.55,41.52,-51.2,22.64,67.82,0.0,23.61,-24.26,-25.98,4.58,-17.07,463.5,-95.0,175.1,163.23,25.14,25.62,55.1,3.56,62.45,59.74,64.47,81.01,0.7,1.08,1.62,10.27,4.76,5.65,64.61,35.53,76.65,0.02,0.11,0.8,4.55,1.24,1.42,-3336.61,-4.6,-35.93,-249.45,-7.26,0.0,0.0,0.0
582,(주)녹십자셀,31390,2013/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,-25.09,-7.83,-40.04,-15.02,-10.51,-16.52,-35.04,0.0,7.44,-25.7,-17.88,-4.92,-12.11,667.48,-172.43,254.35,236.19,13.25,41.13,39.21,-7.43,44.87,67.77,71.83,669.39,0.47,0.7,1.28,10.74,3.49,3.76,97.18,34.0,104.59,0.02,0.1,0.5,3.3,0.75,0.8,220.18,0.41,2.54,103.75,0.74,3415.92,-3315.92,-3485.89
583,(주)녹십자셀,31390,2014/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,3.06,1.11,12.59,-1.47,23.3,-5.79,46.67,0.0,17.33,-5.14,-5.94,2.93,-4.08,3756.14,-193.0,198.7,180.95,15.52,32.18,52.3,2.56,53.62,64.79,65.66,628.37,0.79,1.16,2.35,14.93,4.54,10.26,35.57,24.44,80.41,0.01,0.11,0.83,5.02,1.2,1.3,7121.17,12.72,81.21,5954.5,16.26,116.98,-16.98,-31.61
584,(주)녹십자셀,31390,2015/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,-7.68,45.5,-10.47,-6.16,-9.76,7.18,-32.08,0.0,27.7,10.06,7.87,4.17,5.56,2543.64,256.0,302.66,276.66,46.31,44.1,31.19,6.64,44.79,65.86,76.23,673.49,0.55,0.78,1.59,9.65,3.29,9.82,37.16,37.81,110.89,0.01,0.32,0.6,2.76,0.85,0.93,10148.47,19.64,105.98,1477.42,34.11,61.71,38.29,29.5
585,(주)녹십자셀,31390,2016/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,0.16,68.43,69.85,-35.97,-7.93,-0.5,-4.35,-103.11,24.1,-0.33,-0.24,2.06,-0.18,2432.96,-8.0,194.27,170.27,16.42,20.43,32.05,3.32,76.45,42.1,75.73,670.15,0.55,0.72,1.2,10.14,4.89,31.47,11.6,36.01,74.7,0.01,0.0,0.73,1.66,1.02,1.13,8710.03,16.83,75.44,736.63,30.61,90.28,9.72,-1.07
586,(주)녹십자셀,31390,2017/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,(주)녹십자셀,31390,2018/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,46.97,20.77,3.65,11.09,2497.8,0.0,682.43,647.3,28.46,28.13,85.68,3.64,124.47,32.96,53.86,1132.16,0.24,0.44,0.35,13.92,4.83,38.24,9.54,26.23,75.51,0.01,0.0,0.62,0.53,0.72,0.76,25476.26,20.32,110.91,702.53,86.05,38.37,61.63,54.58
588,(주)녹십자셀,31390,2019/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,22.61,54.14,28.68,10.25,34.55,26.09,28.02,-20.96,57.46,29.17,14.52,4.52,7.92,3167.64,0.0,93.13,87.28,4.14,-2.19,80.65,4.05,127.1,29.64,55.36,1397.29,0.27,0.5,0.39,15.19,5.97,49.91,7.31,24.03,61.16,0.01,0.0,0.53,0.54,0.87,0.93,26493.35,17.23,60.06,702.6,69.9,47.76,52.24,41.74
589,(주)녹십자셀,31390,2020/12,1998/09/25,2021/11/17,4,  의료용 물질 및 의약품 제조업,12.99,22.39,8.04,24.75,37.23,19.12,7.74,-81.96,39.84,4.93,2.14,1.04,1.23,3265.89,163.0,139.22,129.6,18.04,9.22,71.46,0.94,115.34,32.73,58.32,1612.03,0.25,0.44,0.36,12.03,4.84,30.31,12.04,30.35,75.41,0.01,0.0,0.43,0.43,0.8,0.85,19863.85,11.44,19.69,244.45,48.64,79.87,20.13,10.14
704,(주)다린,204690,2011/12,2014/09/18,2017/08/02,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,(주)다린,204690,2012/12,2014/09/18,2017/08/02,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,(주)다린,204690,2013/12,2014/09/18,2017/08/02,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,(주)다린,204690,2014/12,2014/09/18,2017/08/02,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,(주)다린,204690,2015/12,2014/09/18,2017/08/02,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,(주)다린,204690,2016/12,2014/09/18,2017/08/02,4,  고무 및 플라스틱제품 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,(주)대국,42340,2011/12,2000/06/22,2012/04/13,4,  도매 및 상품 중개업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,(주)대원모방,311840,2016/12,2018/12/27,2020/02/27,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,(주)대원모방,311840,2017/12,2018/12/27,2020/02/27,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,(주)대원모방,311840,2018/12,2018/12/27,2020/02/27,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,(주)더블유게임즈,192080,2014/12,2015/11/04,2019/03/12,4,  출판업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,(주)더블유게임즈,192080,2015/12,2015/11/04,2019/03/12,4,  출판업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,(주)더블유게임즈,192080,2016/12,2015/11/04,2019/03/12,4,  출판업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,12.91,11.48,11.15,9056.76,2952.0,562.11,562.11,26.67,60.73,15.53,416.57,30.19,73.87,86.56,4401.31,0.36,0.41,1.36,0.0,9.72,0.0,0.0,0.0,37.57,0.03,0.1,0.41,137.85,0.48,0.48,72683.76,16.63,6437.66,14175.84,46.7,32.46,67.54,67.03
906,(주)더블유게임즈,192080,2017/12,2015/11/04,2019/03/12,4,  출판업,128.21,69.2,681.23,-67.44,0.0,6.99,105.19,-27.59,0.0,11.16,9.04,11.72,4.97,18324.28,2204.0,34.19,34.19,8.07,-20.29,146.45,3.97,220.47,10.54,40.58,4599.1,0.45,0.82,0.63,0.0,11.3,0.0,0.0,0.0,32.29,0.03,0.09,0.81,210.14,1.49,1.49,105974.41,10.63,5547.41,14702.74,33.18,28.19,71.81,33.63
948,(주)데코앤이,17680,2011/12,1993/09/03,2019/11/20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-19.88,-8.47,-17.04,-20.27,-15.66,-6.62,51.1,0.0,44.26,-0.65,-6.84,2.43,-0.96,3815.03,-68.0,113.0,44.24,8.26,10.08,556.03,0.58,81.33,87.6,15.24,70.05,1.48,10.52,12.14,2.85,8.75,5.45,66.99,128.07,41.74,0.01,0.16,0.9,29.17,1.68,4.1,24616.4,21.46,394.49,2066868.41,12.92,60.51,39.49,-5.03
949,(주)데코앤이,17680,2012/12,1993/09/03,2019/11/20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-22.34,-13.39,-2.93,-25.08,-18.44,0.44,-12.85,0.0,49.39,-1.08,-10.19,-2.89,-1.75,3324.76,-65.27,116.01,39.16,5.23,11.66,407.26,-1.09,78.61,84.5,19.71,70.36,1.63,9.47,11.84,2.99,8.72,5.31,68.76,122.07,41.84,0.01,0.16,1.01,28.51,1.89,5.13,22473.64,25.22,415.85,2270065.03,13.54,63.36,36.64,-7.95
950,(주)데코앤이,17680,2013/12,1993/09/03,2019/11/20,4,"  의복, 의복 액세서리 및 모피제품 제조업",9.48,-40.18,49.1,2.21,-19.21,80.06,-20.09,0.0,48.56,10.56,56.95,-4.95,15.01,2656.89,357.0,128.12,61.03,10.95,17.32,208.41,-1.81,65.09,78.89,32.42,126.7,1.42,5.39,7.71,2.94,8.82,6.8,53.68,124.06,41.4,0.01,0.2,0.96,30.71,1.74,4.27,34682.15,35.56,1072.73,406828.76,26.15,32.04,67.96,40.38
951,(주)데코앤이,17680,2014/12,1993/09/03,2019/11/20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-45.09,-56.99,-21.05,-51.52,-43.97,-17.77,-19.24,0.0,41.79,-6.07,-22.57,-10.4,-8.61,2145.68,-190.0,160.09,63.21,18.53,26.14,105.97,-7.23,62.5,69.66,48.55,104.18,1.42,3.72,5.82,3.41,11.69,8.06,45.3,107.12,31.23,0.01,0.14,1.08,46.34,1.88,4.17,7446.39,13.9,535.56,16198.36,6.95,118.08,-18.08,-87.36
952,(주)데코앤이,17680,2015/12,1993/09/03,2019/11/20,4,"  의복, 의복 액세서리 및 모피제품 제조업",1.33,-1.39,-7.02,4.97,13.51,22.98,-40.55,0.0,53.57,-6.84,-15.02,-5.8,-8.07,1066.39,-74.0,184.0,63.59,21.51,32.94,69.71,-2.95,47.25,72.16,58.92,106.5,1.18,2.2,4.06,2.64,11.02,7.41,49.23,138.15,33.13,0.01,0.16,1.05,46.13,1.67,4.51,7094.17,13.07,517.42,6070.24,11.14,103.0,-3.0,-61.37
953,(주)데코앤이,17680,2016/12,1993/09/03,2019/11/20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-2.29,65.34,9.52,-6.84,-25.4,7.77,-13.01,0.0,47.76,-15.66,-26.12,-14.53,-16.17,805.2,-126.0,209.93,99.92,49.44,36.02,53.88,-7.42,48.02,68.79,64.99,100.19,1.03,1.67,3.5,2.48,11.15,12.43,29.37,147.42,32.75,0.01,0.84,0.97,30.46,1.46,3.59,3864.79,7.29,170.48,2941.19,6.98,213.94,-113.94,-224.54
954,(주)데코앤이,17680,2017/12,1993/09/03,2019/11/20,4,"  의복, 의복 액세서리 및 모피제품 제조업",5.67,-29.38,51.83,-15.27,-26.93,-16.34,-15.44,0.0,47.23,-45.45,-67.27,-17.28,-39.04,657.06,-296.0,117.38,64.33,34.02,8.17,94.34,-12.04,87.14,55.16,51.46,62.8,0.86,1.48,2.25,2.83,9.67,12.44,29.33,128.9,37.73,0.01,16.02,0.84,24.22,1.39,2.73,-10005.99,-17.86,-624.98,-9239.57,-21.36,0.0,0.0,0.0
955,(주)데코앤이,17680,2018/12,1993/09/03,2019/11/20,4,"  의복, 의복 액세서리 및 모피제품 제조업",18.73,-2.51,-18.19,48.74,-6.48,4.16,10.19,0.0,47.08,-20.49,-35.94,-9.99,-17.26,523.57,-107.0,130.31,93.29,12.6,16.07,121.53,-2.57,68.44,69.1,45.14,51.48,0.84,1.75,2.26,3.82,10.07,13.37,27.3,95.57,36.26,0.01,1.94,0.75,32.65,1.34,2.07,6663.78,10.02,426.95,1840.14,12.91,115.78,-15.78,-158.73
1009,(주)동서,26960,2011/12,1996/05/22,2016/07/15,4,  도매 및 상품 중개업,9.81,12.13,40.07,-22.23,53.89,8.21,15.19,-22.12,17.8,22.52,12.22,7.4,10.98,14871.09,3312.0,493.51,443.74,85.93,27.44,13.15,999999999.0,74.21,34.41,88.38,5555.16,0.49,0.55,0.83,16.27,10.01,11.63,31.39,22.43,36.45,0.04,0.07,1.03,5.83,1.18,1.28,156005.52,16.4,196.12,1023.52,35.2,20.48,79.52,63.98
